"","Initial gene set","Intermediate","Final gene set"
"msp_01","12.622420517196","12.622420517196","12.622420517196"
"msp_02","53.0554868832812","5.06162761704153","5.06162761704153"
"msp_03","17.2533649977372","1.08948910957156","1.08948910957156"
"msp_04","47.2938333222749","19.3110982043608","19.3110982043608"
"msp_05","140.928570487297","31.437947200204","31.437947200204"
"msp_06","42.5426552192582","15.3689115141797","15.3689115141797"
"msp_07","0.709475694379775","0.709475694379775","0.709475694379775"
"msp_08","42.0925368050471","20.3769536078712","20.3769536078712"
"msp_09","5.86397298906775","5.86397298906775","5.86397298906775"
"msp_10","37.0183591199188","30.7297375884251","30.7297375884251"
"msp_11","6.33369429454603","0.720677218306252","0.720677218306252"
"msp_12","50.0292786165227","8.71691004297965","8.71691004297965"
"msp_13","15.0998478523777","1.17326011635954","1.17326011635954"
"msp_14","49.3368693935062","21.6858711627841","21.6858711627841"
"msp_15","89.8485703368483","79.8955583169004","38.7961987024373"
"msp_16","75.3636849994838","14.1903386623079","14.1903386623079"
"msp_17","49.0917456841131","34.0144571551593","34.0144571551593"
"msp_18","49.2300412411474","28.1323714801143","28.1323714801143"
"msp_19","24.6316844524116","5.72446632871456","5.72446632871456"
"msp_20","20.3370084734974","20.3370084734974","20.3370084734974"
"msp_21","5.35365353733598","5.35365353733598","5.35365353733598"
"msp_22","1.0396129211502","1.0396129211502","1.0396129211502"
"msp_23","18.8513432252083","2.51194313031948","2.51194313031948"
"msp_24","55.0498732802241","2.93952999546092","2.93952999546092"
"msp_25","52.8615956004452","31.4633774838936","31.4633774838936"
"msp_26","8.2174949875381","8.2174949875381","8.2174949875381"
"msp_27","31.7534285457167","12.1175256123701","12.1175256123701"
"msp_28","104.037388016587","104.037388016587","104.037388016587"
"msp_29","11.6783390089301","11.6783390089301","11.6783390089301"
"msp_30","51.5757353305606","5.81331787674065","5.81331787674065"
"msp_31","17.5375070807845","17.5375070807845","17.5375070807845"
"msp_32","10.0974210654817","10.0974210654817","10.0974210654817"
"msp_33","30.0992226559885","5.86617299406592","5.86617299406592"
"msp_34","19.7725935658068","19.7725935658068","19.7725935658068"
"msp_35","52.2737849522894","24.9451088235422","24.9451088235422"
"msp_36","51.0570815414818","51.0570815414818","51.0570815414818"
"msp_37","20.9600523887857","20.9600523887857","5.44999650621503"
"msp_38","18.0103814949523","0.877895892343746","0.877895892343746"
"msp_39","35.8785010097146","35.8785010097146","35.8785010097146"
"msp_40","65.9624189745259","3.16688451494723","3.16688451494723"
"msp_41","31.0054264159703","14.1890995891922","14.1890995891922"
"msp_42","66.9227061361097","5.35741176996502","5.35741176996502"
"msp_43","28.0475192211467","28.0475192211467","28.0475192211467"
"msp_44","69.2348562560722","69.2348562560722","69.2348562560722"
"msp_45","52.6048910788191","52.6048910788191","52.6048910788191"
"msp_46","34.3257875030538","34.3257875030538","34.3257875030538"
"msp_47","40.133079959356","40.133079959356","40.133079959356"
"msp_48","49.6968563882327","49.6968563882327","49.6968563882327"
"msp_49","78.9018110380939","11.1429377091533","11.1429377091533"
"msp_50","1.77476394031088","1.77476394031088","1.77476394031088"
"msp_51","82.0128434196607","14.2383279552203","14.2383279552203"
"msp_52","19.9430356161358","19.9430356161358","19.9430356161358"
"msp_53","12.9248914577689","12.9248914577689","12.9248914577689"
"msp_54","110.568019976248","2.13272073929953","2.13272073929953"
